time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-02-03 09:30:00-05:00,MLTrader,7859097ddb8b48cbb747b180a646128e,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-03 09:30:00-05:00,MLTrader,7859097ddb8b48cbb747b180a646128e,SPY,sell,market,fill,1,gtc,0.0,1,stock,323.3500061035156,154.0,0.0
2020-02-10 09:30:00-05:00,MLTrader,7e09a7492357442bb0969470a2b3c8e6,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-10 09:30:00-05:00,MLTrader,7e09a7492357442bb0969470a2b3c8e6,SPY,sell,market,fill,1,gtc,0.0,1,stock,331.2300109863281,226.0,0.0
2020-02-13 09:30:00-05:00,MLTrader,a1107f9effb14783a639422500f363c9,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-13 09:30:00-05:00,MLTrader,a1107f9effb14783a639422500f363c9,SPY,sell,market,fill,1,gtc,0.0,1,stock,335.8599853515625,334.0,0.0
2020-03-06 09:30:00-05:00,MLTrader,9b8927e0e2a04e0d9e985facab498091,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-03-06 09:30:00-05:00,MLTrader,9b8927e0e2a04e0d9e985facab498091,SPY,sell,market,fill,1,gtc,0.0,1,stock,293.1499938964844,574.0,0.0
2020-03-09 09:30:00-04:00,MLTrader,b6579513683f44719749863a35d4cd5a,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-03-09 09:30:00-04:00,MLTrader,b6579513683f44719749863a35d4cd5a,SPY,sell,market,fill,1,gtc,0.0,1,stock,284.6400146484375,887.0,0.0
2020-03-17 08:30:00-04:00,MLTrader,acdefeb7d61e423595c582b83b16346e,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-17 08:30:00-04:00,MLTrader,2e12abe3c401438a9fab15f1371f5a66,SPY,buy,limit,fill,1,day,0.0,1,stock,231.86100769042966,226.0,0.0
2020-03-17 08:30:00-04:00,MLTrader,939cad55c9d544ac8c3fcf90f35d9ec5,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-17 08:30:00-04:00,MLTrader,d02ee09345b14632b0494a789a17acb3,SPY,buy,limit,fill,1,day,0.0,1,stock,235.10198974609372,334.0,0.0
2020-04-13 09:30:00-04:00,MLTrader,455592c6eda244e3876993935231db65,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-04-13 09:30:00-04:00,MLTrader,455592c6eda244e3876993935231db65,SPY,sell,market,fill,1,gtc,0.0,1,stock,280.9800109863281,1111.0,0.0
2020-04-27 09:30:00-04:00,MLTrader,cc8d10499d2d4625ac1b1b148ccde53f,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,MLTrader,bbed53faaa5846949a0c9a81776dbaf1,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,MLTrader,3ac3b28824674e5b9043fc43d5ff860e,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,MLTrader,ad1ca57802bf4e689d387e3288cf8ffc,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,MLTrader,8d0571336ad84ce8994cc84ea5004d0d,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,MLTrader,db5740ac9c7246eea0082ab192f67e43,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,MLTrader,c2cc434415a6426da7d18c3080092087,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,MLTrader,3731d6383db14f1ebdc8b7af345bcad4,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,MLTrader,517bc8468358461195aa594d49f1315d,SPY,buy,market,new,1,day,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,MLTrader,49a171a72d8b45ea95ecbd8e26f33943,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,MLTrader,517bc8468358461195aa594d49f1315d,SPY,buy,market,fill,1,day,0.0,1,stock,291.0199890136719,2726.0,0.0
2020-04-27 09:30:00-04:00,MLTrader,49a171a72d8b45ea95ecbd8e26f33943,SPY,buy,market,fill,1,gtc,0.0,1,stock,291.0199890136719,1609.0,0.0
2020-12-21 08:30:00-05:00,MLTrader,abf3fe9b466145d8be908017b0831c65,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-12-21 08:30:00-05:00,MLTrader,44e332162b7e45649044abdb050f1c3d,SPY,sell,limit,fill,1,day,0.0,1,stock,378.32598571777345,1609.0,0.0
2021-07-16 09:30:00-04:00,MLTrader,f059dfb6ea5b4e639a0906f77743278c,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2021-07-16 09:30:00-04:00,MLTrader,f059dfb6ea5b4e639a0906f77743278c,SPY,sell,market,fill,1,gtc,0.0,1,stock,436.010009765625,333.0,0.0
2022-01-04 08:30:00-05:00,MLTrader,d04e65829a8c4ccf829c0042666a8980,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
